Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
Achieved 200% return on my portfolio in 5 yrs.. & still growing..,1l3t1nh,2025-06-05,2410,"Thats Awesome OP ! I wish to be like you , Ive booked profits earlier at 25-35% for HDFC and Infosys had i held it for 2 more years i wouldve had close to double the profits i made i shd learn it from you from now and have my conviction right and stay invested",mw4k2pq,[deleted],2,2025-06-05,HDFCBANK.NS,1,0,True,3,Positive,Positive,bullish,1,1
Time to buy more!!! make them Lockheed martins of India,1kmr6bu,2025-05-15,1071,"hijacking tgis to share because i couldn't edit my post *Top Defence Stocks in India (2025) 1. *Hindustan Aeronautics Ltd (HAL)* • Focus: Aircraft and helicopter manufacturing, including indigenous platforms like the Tejas fighter jet. • Highlights: • Achieved Maharatna status in 2024. • Strong order book exceeding ₹94,000 crore. • Exploring exports to countries like Argentina and Egypt. ￼ ￼ ￼ ￼ 2. *Bharat Electronics Ltd (BEL)* • Focus: Defence electronics, including radars and communication systems. • Highlights: • Robust order inflow, with over ₹27,000 crore in the first nine months of FY24. • Consistent dividend payouts. ￼ ￼ ￼ 3. *Bharat Dynamics Ltd (BDL)* • Focus: Missile systems and strategic weapons. • Highlights: • Order book expanded to ₹188 billion in H1FY25. • Plans to diversify into warhead manufacturing and space applications. ￼ ￼ 4. *Mazagon Dock Shipbuilders Ltd (MDL)* • Focus: Warship and submarine construction. • Highlights: • Projected to triple order books by FY27. • Beneficiary of increased naval defence spending. ￼ ￼ 5. *Cochin Shipyard Ltd (CSL)* • Focus: Shipbuilding and repair services. • Highlights: • Shares surged over 400% in a year, reflecting strong investor confidence. • Significant orders from the Indian Navy. ￼ ￼ 6. *Solar Industries India Ltd* • Focus: Explosives and propellants for missiles and rockets. • Highlights: • Year-to-date return of 38% in 2024. • Expanding presence in the defence sector. ￼ ￼ 7. *Data Patterns (India) Ltd* • Focus: Defence and aerospace electronics solutions. • Highlights: • Strong emphasis on in-house development and innovation. • Year-to-date return of 23.66% in 2024. ￼ 8. *Zen Technologies Ltd* • Focus: Combat training solutions and simulators. • Highlights: • Stock price increased by 246% over the past year. • Growing demand for advanced training systems. ￼ 9. *MTAR Technologies Ltd* • Focus: Precision engineering for defence and aerospace sectors. • Highlights: • Included in HDFC Defence Fund’s portfolio. • Benefiting from increased demand for indigenous defence components. ￼ ￼ 10. *Larsen & Toubro (L&T)* • Focus: Diversified engineering with a significant defence division. • Highlights: • Involved in manufacturing submarines, tanks, and weapon systems. • Strong infrastructure and manufacturing capabilities. ￼",msh53dy,Straight_Mail1496,1,2025-05-15,HDFCBANK.NS,1,0,True,6,Positive,Positive,bullish,1,1
"👀 in 2040, 1 Kg Gold could buy you a Private Jet 👇🏼 (what do you think?). Power of YELLOW metal 💛",1jgdbhk,2025-03-21,1048,"I don't know much about investment. but what is better mutual fund or gold??? I invested in mutual funds of hdfc (I think around four years ago) and last I checked was that my investment nearly doubled, and I also bought some gold last year I think its value have also appreciated good.",miztppj,new_to_maths,1,2025-03-21,HDFCBANK.NS,1,0,True,3,Positive,Positive,bullish,1,1
what is wrong with this son of a b!tch?,1iqw95f,2025-02-16,1025,I saw a video of his some 4-5 years back wherein he invested like 25-50 lakhs in HDFC Bank.. started following his youtube channel never convinced left.. Honestly I don't trust either youtuber..,md3oynl,Extension-Past5069,2,2025-02-16,HDFCBANK.NS,2,0,True,3,Negative,Positive,neutral,-1,1
