Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-08 00:00:00+05:30,1889.4978132388082,1909.0469604018253,1858.7357782951613,1899.8818359375,5637391,0.0,0.0
2024-10-09 00:00:00+05:30,1903.7818495832903,1927.6211223804971,1896.5178543658283,1903.976806640625,4857163,0.0,0.0
2024-10-10 00:00:00+05:30,1908.9983811984232,1914.9460002666592,1866.2923077183304,1871.0699462890625,4782119,0.0,0.0
2024-10-11 00:00:00+05:30,1870.094824366297,1898.3705021069761,1862.3921159361064,1886.7677001953125,4709431,0.0,0.0
2024-10-14 00:00:00+05:30,1883.8913919551653,1920.3084903207136,1882.8675698277727,1909.9732666015625,3751378,0.0,0.0
2024-10-15 00:00:00+05:30,1911.0458720946388,1941.71031054596,1903.001929010567,1910.3634033203125,5353705,0.0,0.0
2024-10-16 00:00:00+05:30,1906.170797419034,1910.6072016149433,1868.4861182079758,1872.1424560546875,3111512,0.0,0.0
2024-10-17 00:00:00+05:30,1886.8651885882837,1928.596236666682,1881.9413919550382,1918.9434814453125,8162822,0.0,0.0
2024-10-18 00:00:00+05:30,1846.4993341440768,1888.474019455993,1822.5624624334712,1832.6539306640625,10526196,0.0,0.0
2024-10-21 00:00:00+05:30,1843.86673306473,1851.3744846784607,1792.0930141849954,1806.474609375,4654601,0.0,0.0
2024-10-22 00:00:00+05:30,1811.7882795000614,1830.8988317246783,1800.8192671870856,1805.3531494140625,4125240,0.0,0.0
2024-10-23 00:00:00+05:30,1799.1619538234872,1838.894157924995,1797.9431745565698,1826.60888671875,4311910,0.0,0.0
2024-10-24 00:00:00+05:30,1814.9085664464787,1836.944071310787,1813.543509892815,1816.809814453125,2906475,0.0,0.0
2024-10-25 00:00:00+05:30,1816.9072959329033,1829.4851215197311,1800.2832184781212,1815.5423583984375,4689120,0.0,0.0
2024-10-28 00:00:00+05:30,1813.2509816437453,1834.896572683092,1810.6184660544925,1818.7598876953125,7018940,0.0,0.0
2024-10-29 00:00:00+05:30,1820.3868971098545,1825.9091734808057,1803.6227707551052,1813.7799072265625,4621252,21.0,0.0
2024-10-30 00:00:00+05:30,1806.5812347424808,1813.4841106394226,1771.4258498491638,1777.0960693359375,5919715,0.0,0.0
2024-10-31 00:00:00+05:30,1763.0931679230187,1763.0931679230187,1722.2675629117984,1732.868408203125,7395236,0.0,0.0
2024-11-01 00:00:00+05:30,1740.017715602962,1741.4969032331146,1727.7405064233335,1736.4183349609375,371966,0.0,0.0
2024-11-04 00:00:00+05:30,1700.5727434953685,1742.4830604559677,1694.1629303131592,1739.1795654296875,7336722,0.0,0.0
2024-11-05 00:00:00+05:30,1735.5801694120541,1743.9128783247852,1720.7882929682014,1729.860595703125,3160880,0.0,0.0
2024-11-06 00:00:00+05:30,1739.5247398383508,1801.8478002805573,1738.1934949801216,1798.3963623046875,10421494,0.0,0.0
2024-11-07 00:00:00+05:30,1787.7955014436675,1800.3685968171349,1762.2056025400752,1778.032958984375,4550965,0.0,0.0
2024-11-08 00:00:00+05:30,1792.775423572222,1815.0618266546207,1787.9927409344914,1804.5595703125,4210960,0.0,0.0
2024-11-11 00:00:00+05:30,1803.6227934762044,1842.081672068644,1797.2623347827093,1834.291259765625,3804234,0.0,0.0
2024-11-12 00:00:00+05:30,1845.1386209364089,1854.9012833451236,1835.1787816614965,1842.87060546875,5012450,0.0,0.0
2024-11-13 00:00:00+05:30,1835.2774347702136,1847.2095246339784,1830.544106425298,1842.4761962890625,4257495,0.0,0.0
2024-11-14 00:00:00+05:30,1839.714924537372,1849.9706494411498,1830.2481478479606,1838.6795654296875,4311431,0.0,0.0
2024-11-18 00:00:00+05:30,1823.5425071201328,1823.5425071201328,1770.0945742542924,1786.3162841796875,4839244,0.0,0.0
2024-11-19 00:00:00+05:30,1800.1713565147516,1833.8967865305349,1795.2900854570928,1799.4317626953125,4669769,0.0,0.0
2024-11-21 00:00:00+05:30,1816.442429577535,1841.095557014798,1795.339328415918,1808.602783203125,5436504,0.0,0.0
2024-11-22 00:00:00+05:30,1828.374498334409,1887.4927694808482,1808.553408176173,1875.8564453125,6301486,0.0,0.0
2024-11-25 00:00:00+05:30,1889.4157296228746,1892.6699906690035,1855.8874755481472,1863.4805908203125,12764638,0.0,0.0
2024-11-26 00:00:00+05:30,1878.518962558038,1911.702096274213,1870.9752018384395,1897.45263671875,6850495,0.0,0.0
2024-11-27 00:00:00+05:30,1903.3200059027895,1914.4632675339492,1885.224634635848,1897.7977294921875,4447143,0.0,0.0
2024-11-28 00:00:00+05:30,1888.3309462638708,1888.3309462638708,1825.9585347392867,1830.88916015625,8468790,0.0,0.0
2024-11-29 00:00:00+05:30,1825.4161652795651,1850.9568296791742,1819.4008261897052,1832.072509765625,5244346,0.0,0.0
2024-12-02 00:00:00+05:30,1833.2065672761437,1856.6763928884145,1809.7367416638726,1853.718017578125,2868263,0.0,0.0
2024-12-03 00:00:00+05:30,1860.8180760709474,1873.391171179535,1845.1880172073568,1865.8472900390625,4715792,0.0,0.0
2024-12-04 00:00:00+05:30,1857.8597084036323,1887.3941073159906,1848.9845824080737,1863.036865234375,4705573,0.0,0.0
2024-12-05 00:00:00+05:30,1873.6377142854979,1922.845381488632,1862.7409836386182,1908.004150390625,9050038,0.0,0.0
2024-12-06 00:00:00+05:30,1905.9826538933166,1911.061101890244,1885.8656776464575,1895.7269287109375,3573331,0.0,0.0
2024-12-09 00:00:00+05:30,1897.5018913119027,1903.4186419806354,1870.876513302606,1896.9595947265625,4274645,0.0,0.0
2024-12-10 00:00:00+05:30,1912.096617063394,1938.3275213087989,1905.193741189519,1921.51416015625,6174921,0.0,0.0
2024-12-11 00:00:00+05:30,1927.8745911898272,1950.5554687332371,1924.9162158580782,1946.7589111328125,5025612,0.0,0.0
2024-12-12 00:00:00+05:30,1947.7942178498488,1971.0668661345264,1943.2088325103296,1959.4305419921875,6462130,0.0,0.0
2024-12-13 00:00:00+05:30,1942.419946638723,1978.6106902340612,1926.6912991940405,1971.954345703125,5362693,0.0,0.0
2024-12-16 00:00:00+05:30,1967.7632564033934,1971.8556995891386,1950.1609476784474,1952.5770263671875,3119221,0.0,0.0
2024-12-17 00:00:00+05:30,1940.6942746330094,1954.5000265866995,1930.8330232375165,1949.1749267578125,5811050,0.0,0.0
2024-12-18 00:00:00+05:30,1939.5109539146308,1957.4090287235867,1934.3830310124576,1951.6895751953125,3064095,0.0,0.0
2024-12-19 00:00:00+05:30,1907.165976992173,1932.5586987644317,1893.360225349003,1919.1966552734375,5323592,0.0,0.0
2024-12-20 00:00:00+05:30,1947.7449759219587,1952.4783040802065,1884.7315592319012,1895.4803466796875,11056720,0.0,0.0
