Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
That's actually the real thing !!,1ix0j4m,2025-02-24,2676,Icici has buy now pay later option. Sell your PF and buy 4 times the same quantity. /s,mejfs8h,whoamitosayanything,0,2025-02-24,ICICIBANK.NS,1,0,True,2,Negative,Neutral,bearish,-1,0
Reality of stock trading,1e6370i,2024-07-18,1941,"Mera ek Demat account ICICI walo ne jabardasti banwa diya , account me ek bhi share nhi hai fir bhi annual maintenance charges bharta hu Ek account mummy ka hai sirf IPO me apply krne ke liye Main trading account corona ke time banaya tha abhi 2023 me use Krna start Kiya hu. So yeah that's why 2/3 demat accounts have less than 10k in it",ldyeo60,roti_sabzi,1,2024-07-19,ICICIBANK.NS,1,0,True,5,Positive,Neutral,bullish,1,0
The Fantastic Four,1eoztmk,2024-08-10,1835,"The above 4 icons - 1) Chitra Ramakrishna - CEO of NSE, used to leak confidential info to a Yogi baba, and it was apparently the baba who used to instruct her how to run the exchange. 2) Madhabi Buch - Chairman of SEBI, now accused of investing in Adani's offshore funds and then quietly moving them to her husband's name - The very fund which SEBI was supposed to investigate & stated that they couldn't find investors for it. Also accused of conflict of interest as her husband was employed in Blackstone and she was actively promoting REIT as 'investment for future' and BlackRock would be the biggest beneficiary for it. 3) Nirmala Sitaraman - No scams, but complete loot via Tax. 4) Chanda Kochhar - The poster woman for 'woman empowerment', the inspiration for so many, ended up doing a massive fraud in ICICI.",lhjpkyf,Android_Arsenal,20,2024-08-11,ICICIBANK.NS,1,0,True,4,Negative,Neutral,bearish,-1,0
Smartest trader of India,1j0q5u2,2025-03-01,1626,"Market 0 => TCS, INFY kal se band ho jayegi. Reliance bhi band. SBI and ICICI bank sab business kal se band.",mfdkqhl,GoldenDew9,343,2025-03-01,ICICIBANK.NS,2,0,True,3,Neutral,Neutral,neutral,0,0
