Post_Title,Post_ID,Post_Date,Post_Score,Comment_Text,Comment_ID,Comment_Author,Comment_Score,Comment_Date,Ticker,Ticker_Mentions_In_Comment,Ticker_Mentions_In_Post,Is_Hinglish,Hinglish_Score,VADER_Sentiment,TextBlob_Sentiment,Combined_Sentiment,VADER_Compound,TextBlob_Polarity
Inspired by Poonam Pandey,1aiq087,2024-02-04,13346,hdfc bank says it did not give return to raise awareness that dont invest in elephants,kow8rxt,[deleted],22,2024-02-04,HDFCBANK.NS,2,0,True,2,Neutral,Neutral,neutral,0,0
Current situation,1h7w24u,2024-12-06,2346,"looks like a linkedin nerd post lol ! , im a follower of akshat but now recently i stopped watching his videos cause it started seeming irrelevant and dude started to post to keep the algorithm running , I watched his live session he basically got exposed innit cause dude basically knows if the finances are good its a good company but the point that i choose to learn is its easy to discover good companies after a while but is it the right price is the debate , his videos doesnt seem to answer that , and finally the stock he was bullish on for over 2 yrs hdfc has finally given the run up happy for him , I booked 16k profits too at 1760 levels",m0okfmj,[deleted],-7,2024-12-06,HDFCBANK.NS,1,0,True,3,Positive,Positive,bullish,1,1
India became most expensive stock market of the world,1fda3hj,2024-09-10,2130,"I think you should invest in FD or HDFC type stocks. This market is here to stay, companies are giving very good results, there is huge liquidity available. You can stay delusional and dream of crashes.",lmed6nb,govi96,4,2024-09-10,HDFCBANK.NS,1,0,True,3,Positive,Positive,bullish,1,1
"It's been a fun ride, rising with the tide. Now it's time to part ways, let the memories abide.",1fs84f8,2024-09-29,1700,Itne paise hote bhi h? HDFC apne id se aao,lpikjcd,alphacobra99,556,2024-09-29,HDFCBANK.NS,1,0,True,2,Neutral,Neutral,neutral,0,0
